Sample_ID,Clade,Host,Dominant
M_c1_C,C,MCAV,Yes
M_c3_C,C,MCAV,Yes
M_c5_C,C,MCAV,Yes
M_c6_C,C,MCAV,No
M_c7_C,C,MCAV,Yes
M_c8_C,C,MCAV,Yes
O_c1_C,C,OANN,Yes
O_c2_C,C,OANN,No
O_c3_C,C,OANN,Yes
O_c6_C,C,OANN,Yes
O_c7_C,C,OANN,Yes
O_c8_C,C,OANN,Yes
Past_c1_C,C,PAST,No
Past_c5_C,C,PAST,No
Past_c6_C,C,PAST,No
Past_c7_C,C,PAST,No
Pstr_c3_C,C,PSTR,No
Pstr_c5_C,C,PSTR,No
Pstr_c7_C,C,PSTR,No
Pstr_c8_C,C,PSTR,No
UVI_081_C,C,MCAV,Yes
UVI_083_C,C,MCAV,Yes
UVI_085_C,C,MCAV,Yes
UVI_087_C,C,MCAV,Yes
UVI_089_C,C,MCAV,Yes
UVI_091_C,C,OANN,No
UVI_093_C,C,OANN,No
UVI_095_C,C,OANN,No
UVI_097_C,C,OANN,No
UVI_099_C,C,OANN,Yes
UVI_103_C,C,OFAV,Yes
UVI_105_C,C,OFAV,Yes
UVI_107_C,C,OFAV,Yes
USVI_109_C,C,PAST,No
USVI_111_C,C,PAST,No
USVI_117_C,C,PAST,No
UVI_129_C,C,SSID,Yes
UVI_131_C,C,SSID,Yes
UVI_133_C,C,SSID,Yes
UVI_135_C,C,SSID,Yes
UVI_137_C,C,SSID,Yes
