"","M_c1_C","M_c3_C","M_c5_C","M_c6_C","M_c7_C","M_c8_C","O_c1_C","O_c2_C","O_c3_C","O_c6_C","O_c7_C","O_c8_C","Past_c1_C","Past_c5_C","Past_c6_C","Past_c7_C","Pstr_c3_C","Pstr_c5_C","Pstr_c7_C","Pstr_c8_C","UVI_081_C","UVI_083_C","UVI_085_C","UVI_087_C","UVI_089_C","UVI_091_C","UVI_093_C","UVI_095_C","UVI_097_C","UVI_099_C","UVI_103_C","UVI_105_C","UVI_107_C","USVI_109_C","USVI_111_C","USVI_117_C","UVI_129_C","UVI_131_C","UVI_133_C","UVI_135_C","UVI_137_C"
"A0A011QK89",3.90757019377127,5.44186953751855,5.33198767600785,5.619051189996,5.02136315473677,5.04894729440468,4.73251650121667,4.91392863056254,4.57699180660516,4.53844950207322,4.65654567468328,4.18839123763288,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,4.3703057253802,4.04809248411948,4.16569048553395,3.8845228855166,4.2536087042612,4.38651249051175,3.63439181377402,1.62084123591018,3.82145027271099,5.09660794465134,5.06284960127677,3.89101697144458,4.51344023011538,1.62084123591018,1.62084123591018,1.62084123591018,5.6144543662295,5.04804290708236,5.48191941893494,5.45333069564741,5.52419739778069
"A0A023I7E1",1.62084123591018,1.62084123591018,1.62084123591018,1.97489332024034,1.62084123591018,2.15585757935481,2.93316420990574,3.38849671146177,2.79314449946734,3.15015415819432,3.30568733549331,3.57612194159206,5.00739107654478,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,3.95863423847728,1.62084123591018,1.88772764146426,1.62084123591018,1.62084123591018,1.90749999286851,1.62084123591018,3.55500452214825,2.84315683826879,1.62084123591018,3.24506120548844,2.66039271981472,2.43354846168717,4.60929739820015,2.7476029162033,1.62084123591018,1.62084123591018,1.62084123591018,2.68051229220771,3.20644324758624,3.89918707670875,2.52429007279925,3.62480847749599
"A0A067XMP1",3.00439753012673,2.53562571064153,3.12535420788859,2.60554101199712,2.91392401132556,3.43834636387673,6.92254937563775,6.69660486754682,7.02458653926637,7.08606635669954,6.63114205261401,6.5208193417352,1.62084123591018,1.62084123591018,1.62084123591018,8.48573439002794,10.4453716531759,10.9811741399096,10.9345244226845,10.4707147227381,2.27001860155816,2.2605921506272,2.33006675327863,2.02557659346819,2.06584132321469,6.62874805140473,6.78564248175516,9.71406324706846,7.02191554268103,8.04041689700749,7.81416639623719,7.60172910674552,7.657520600347,1.62084123591018,1.62084123591018,6.28662745313213,8.57470546850175,8.21688604036102,8.5235566261089,8.37647996839829,8.86977265111837
"A0A067YMX8",2.70347401294407,3.65717303101174,3.57015091999126,3.5197509029011,3.4435819985597,3.3963520430578,1.62084123591018,3.37231427763829,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,2.3683955941721,2.2605921506272,3.3131130986131,2.8361598038063,2.77208457110221,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,2.78631920446914,3.57730040441699,1.62084123591018,1.62084123591018,1.62084123591018,3.21697069174994,2.00207968898509,1.62084123591018,2.52429007279925,1.62084123591018
"A0A075HNX4",2.98687049472513,3.4786192547705,3.63081259658871,2.94820692234565,3.62724067154362,3.64692218710591,2.26474938707933,2.45846757549903,2.26309731782298,2.20832485851045,2.40807882482141,2.66725407802257,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,2.53148839141923,2.07505079057982,3.42907180004687,2.95032657780545,2.98252998051239,3.03584847594527,2.84315683826879,1.62084123591018,1.62084123591018,2.66039271981472,2.60992874868476,3.15416798890068,2.68601001435032,1.62084123591018,1.62084123591018,1.62084123591018,2.86419839111624,2.85131243227427,3.2837528181869,2.81818720899907,2.35679748868306
"A0A0A0RM07",2.2411691638203,2.50336679032561,2.89182929275739,2.4048317104578,2.8384153549726,2.67350871424792,5.57788792102504,5.63755077797378,5.27249909526112,5.59562281244827,5.51216622347132,4.99543313319697,5.00739107654478,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,7.47053389178039,2.66684777732791,2.31092908574664,2.41184314201025,2.55665293624663,2.73219307483442,5.33466760797057,5.1838568885768,1.62084123591018,5.30199519288486,1.62084123591018,2.19925887683027,2.3697260474161,2.8599833351105,1.62084123591018,1.62084123591018,1.62084123591018,6.3520987820127,6.15055259016416,6.76722355341783,6.29093423432448,6.69756804548034
"A0A0B4KGY6",2.52123546756896,3.10680409149616,2.89182929275739,3.137391003935,2.93790295421608,3.18672272505969,4.11129526408646,5.20218189549952,4.11118686461346,4.22166583890632,4.5174754843751,3.57612194159206,5.00739107654478,1.62084123591018,1.62084123591018,1.62084123591018,5.44136173018484,1.62084123591018,1.62084123591018,1.62084123591018,2.78431028111038,2.14460491565382,2.41184314201025,2.11573587494374,2.16478832577731,3.55500452214825,3.63439181377402,1.62084123591018,3.24506120548844,4.82393608854837,4.99586044519571,4.41868355850047,4.67320210848227,11.2446159114101,1.62084123591018,1.62084123591018,4.73434657171054,3.77270311447077,3.37401622129781,4.40290277549033,4.19465570719735
"A0A0B6VQ48",3.69218556663579,4.61935345919623,4.27380774017547,4.29507865937864,4.30155520788717,4.45802241188715,3.55205413695072,5.37995620638491,3.29432629666612,3.73131950816112,3.42909324687857,3.40000109524191,6.79825171011633,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,3.75176439956336,2.84649790513468,3.70126024685722,3.52916653668622,2.88276234105567,3.55500452214825,1.62084123591018,1.62084123591018,2.79803038132424,4.40084258623637,4.40855533434724,3.43061934867252,4.85027198827404,1.62084123591018,1.62084123591018,1.62084123591018,4.48456447751004,3.86541343144719,4.86750641902398,4.83272749137795,4.84406383283574
"A0A0B7P9G0",3.00439753012673,4.67277693520016,5.29717692501977,4.58499987996294,4.8611194875509,4.72642609277342,5.85019414432907,5.68633769905928,5.74009683531129,6.01554654868082,5.71066410913892,5.47466449051228,5.00739107654478,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,3.8438467729146,3.58787334349209,4.11775108689537,4.28948604346501,4.0959755266423,6.17979216721011,6.46020560926257,1.62084123591018,6.81553936523703,1.62084123591018,3.43101122392489,3.07335344468583,2.91173743373976,1.62084123591018,1.62084123591018,1.62084123591018,5.26782046985491,5.16648849794616,5.9638804849967,5.13085190366798,4.78030666970887
"A0A0G2JDV3",6.3533351541979,7.50335655522358,7.5107397644435,7.6736882854039,7.184987143252,7.37098857430642,7.03395325186828,6.93792967478766,6.85067927661007,7.02146659695388,6.9172445962084,6.44578870913779,1.62084123591018,1.62084123591018,1.62084123591018,1.62084123591018,7.59765716803112,1.62084123591018,3.95863423847728,1.62084123591018,5.78017346149074,5.84607499918178,6.26910483025728,6.44587770517863,6.31772874275661,7.54767122478114,6.36075332791318,1.62084123591018,7.21822205238668,6.9880600456736,6.66895954566471,7.543921288694,6.14361691870285,1.62084123591018,1.62084123591018,1.62084123591018,5.9912156575374,5.75306734037999,5.73534618151021,5.35077876186262,6.23923079401955
