XP_018560761.1	XP_023021411.1
XP_018560772.1	XP_023025649.1
XP_018560773.1	XP_023018058.1
XP_018560774.1	XP_023015416.1
XP_018560777.1	XP_023015394.1
XP_018560779.1	XP_023015404.1
XP_018560781.1	XP_023027090.1
XP_018560782.1	XP_023018041.1
XP_018560787.1	XP_023023021.1
XP_018560789.1	XP_023030298.1
XP_018560791.1	XP_023011960.1
XP_018560794.1	XP_023030305.1
XP_018560800.1	XP_023011922.1
XP_018560802.1	XP_023011942.1
XP_018560803.1	XP_023011949.1
XP_018560805.1	XP_023013190.1
XP_018560806.1	XP_023013191.1
XP_018560808.1	XP_023013189.1
XP_018560809.1	XP_023013187.1
XP_018560810.1	XP_023013188.1
XP_018560815.1	XP_023029990.1
XP_018560816.1	XP_023030303.1
XP_018560819.1	XP_023030301.1
XP_018560822.1	XP_023025303.1
XP_018560825.1	XP_023025364.1
XP_018560829.1	XP_023012609.1
XP_018560830.1	XP_023012603.1
XP_018560834.2	XP_023023943.1
XP_018560835.2	XP_023025402.1
XP_018560846.1	XP_023026040.1
XP_018560848.1	XP_023026046.1
XP_018560849.1	XP_023016236.1
XP_018560851.1	XP_023011803.1
XP_018560852.1	XP_023016254.1
XP_018560853.1	XP_023029353.1
XP_018560855.1	XP_023012607.1
XP_018560856.1	XP_023026042.1
XP_018560857.1	XP_023026045.1
XP_018560859.1	XP_023023985.1
XP_018560860.1	XP_023013157.1
XP_018560862.1	XP_023026047.1
XP_018560864.1	XP_023011802.1
XP_018560866.1	XP_023020537.1
XP_018560868.1	XP_023020874.1
XP_018560869.2	XP_023026050.1
XP_018560871.1	XP_023025986.1
XP_018560874.1	XP_023020547.1
XP_018560877.1	XP_023021388.1
XP_018560879.1	XP_023021389.1
XP_018560883.1	XP_023012931.1
XP_018560884.1	XP_023016038.1
XP_018560885.1	XP_023018035.1
XP_018560886.1	XP_023019179.1
XP_018560887.1	XP_023024801.1
XP_018560892.1	XP_023011801.1
XP_018560893.1	XP_023011798.1
XP_018560896.1	XP_023027638.1
XP_018560899.1	XP_023012415.1
XP_018560900.1	XP_023019804.1
XP_018560901.1	XP_023019177.1
XP_018560903.1	XP_023026052.1
XP_018560904.1	XP_023012930.1
XP_018560905.1	XP_023012336.1
XP_018560906.1	XP_023013378.1
XP_018560908.1	XP_023014749.1
XP_018560909.1	XP_023016958.1
