NP_001034487.2	XP_023022290.1
NP_001034488.1	XP_023019663.1
NP_001034489.1	XP_023030278.1
NP_001034492.1	XP_023020739.1
NP_001034494.1	XP_023026794.1
NP_001034495.1	XP_023024997.1
NP_001034496.1	XP_023025577.1
NP_001034499.1	XP_023026760.1
NP_001034500.1	XP_023027271.1
NP_001034501.1	XP_023011742.1
NP_001034502.1	XP_023022864.1
NP_001034503.2	XP_023022460.1
NP_001034505.1	XP_023018465.1
NP_001034506.1	XP_023016886.1
NP_001034507.1	XP_023013890.1
NP_001034509.1	XP_023011684.1
NP_001034510.1	XP_023012021.1
NP_001034511.2	XP_023025734.1
NP_001034512.1	XP_023018920.1
NP_001034515.1	XP_023011485.1
NP_001034520.2	XP_023027021.1
NP_001034521.1	XP_023024221.1
NP_001034522.1	XP_023012799.1
NP_001034523.1	XP_023018464.1
NP_001034524.1	XP_023026405.1
NP_001034525.1	XP_023028872.1
NP_001034528.2	XP_023020494.1
NP_001034531.1	XP_023026069.1
NP_001034532.1	XP_023017032.1
NP_001034537.1	XP_023019890.1
NP_001034538.1	XP_023030220.1
NP_001034539.1	XP_023018459.1
NP_001036035.1	XP_023021866.1
NP_001036813.1	XP_023026810.1
NP_001038091.1	XP_023014132.1
NP_001038092.1	XP_023014136.1
NP_001039273.1	XP_023023194.1
NP_001039276.1	XP_023021658.1
NP_001039278.1	XP_023025546.1
NP_001039285.1	XP_023021663.1
NP_001039290.1	XP_023012161.1
NP_001071091.1	XP_023021908.1
NP_001073566.1	XP_023024543.1
NP_001073567.1	XP_023021007.1
NP_001073568.1	XP_023013228.1
NP_001073569.1	XP_023016460.1
NP_001076792.1	XP_023018719.1
NP_001076793.1	XP_023018708.1
NP_001076796.1	XP_023024502.1
NP_001078830.1	XP_023024765.1
NP_001078831.1	XP_023012128.1
NP_001092297.1	XP_023022830.1
NP_001092299.1	XP_023027319.1
NP_001092318.1	XP_023027673.1
NP_001092812.1	XP_023027363.1
NP_001095946.1	XP_023017521.1
NP_001096047.1	XP_023014832.1
NP_001096055.1	XP_023018948.1
NP_001096056.1	XP_023025298.1
NP_001099012.1	XP_023029156.1
NP_001099128.1	XP_023012590.1
NP_001103245.1	XP_023017448.1
NP_001103247.1	XP_023025661.1
NP_001103250.1	XP_023029293.1
NP_001103251.1	XP_023024094.1
NP_001103418.1	XP_023017124.1
NP_001103420.1	XP_023015177.1
NP_001103423.1	XP_023023439.1
NP_001103424.1	XP_023017449.1
NP_001103903.1	XP_023029804.1
NP_001103905.1	XP_023026293.1
NP_001106936.1	XP_023027720.1
NP_001106938.1	XP_023021623.1
NP_001107762.1	XP_023026918.1
NP_001107765.1	XP_023026192.1
NP_001107773.1	XP_023023892.1
NP_001107775.1	XP_023018980.1
NP_001107778.1	XP_023016461.1
NP_001107779.1	XP_023014168.1
NP_001107780.1	XP_023014169.1
NP_001107791.1	XP_023013057.1
NP_001107792.1	XP_023011682.1
NP_001107793.1	XP_023029675.1
NP_001107795.1	XP_023015245.1
NP_001107796.2	XP_023017013.1
NP_001107798.1	XP_023029606.1
NP_001107807.1	XP_023026945.1
NP_001107813.1	XP_023012342.1
NP_001107835.1	XP_023016624.1
NP_001107836.1	XP_023015850.1
NP_001107839.1	XP_023029856.1
NP_001107847.1	XP_023021612.1
NP_001107848.1	XP_023015287.1
NP_001116303.1	XP_023014833.1
NP_001120783.1	XP_023011797.1
NP_001121967.1	XP_023022240.1
NP_001123894.1	XP_023021217.1
NP_001123908.1	XP_023017726.1
NP_001127849.1	XP_023025713.1
NP_001127850.1	XP_023023019.1
NP_001127918.1	XP_023015855.1
NP_001128383.1	XP_023021713.1
NP_001129378.1	XP_023013765.1
NP_001135390.1	XP_023020547.1
NP_001135924.1	XP_023019435.1
NP_001136167.1	XP_023026356.1
NP_001137201.1	XP_023011617.1
NP_001137203.1	XP_023027086.1
NP_001137601.1	XP_023017758.1
NP_001138950.1	XP_023021732.1
NP_001139341.1	XP_023030015.1
NP_001139378.1	XP_023030476.1
NP_001139379.1	XP_023016359.1
NP_001139383.1	XP_023023253.1
NP_001139384.1	XP_023017679.1
NP_001139385.1	XP_023013940.1
NP_001139387.1	XP_023029504.1
NP_001139390.1	XP_023026280.1
NP_001139415.1	XP_023012639.1
NP_001153545.1	XP_023017109.1
NP_001153625.1	XP_023019907.1
NP_001153689.1	XP_023029600.1
NP_001153709.1	XP_023014278.1
NP_001153710.1	XP_023016904.1
NP_001153712.1	XP_023014020.1
NP_001153713.1	XP_023015333.1
NP_001153714.1	XP_023025730.1
NP_001153717.1	XP_023020806.1
NP_001153720.1	XP_023020454.1
NP_001153721.1	XP_023025123.1
NP_001153722.1	XP_023017039.1
NP_001153726.1	XP_023027727.1
NP_001153741.1	XP_023022873.1
NP_001153781.1	XP_023023860.1
NP_001153782.1	XP_023025864.1
NP_001153783.1	XP_023012055.1
NP_001155866.1	XP_023029942.1
NP_001155991.1	XP_023027119.1
NP_001155992.1	XP_023027603.1
NP_001155994.1	XP_023012277.1
NP_001155998.1	XP_023025749.1
NP_001156931.1	XP_023014813.1
NP_001157183.1	XP_023029179.1
NP_001157311.1	XP_023019693.1
NP_001157312.1	XP_023019675.1
NP_001157314.1	XP_023019908.1
NP_001157315.1	XP_023020010.1
NP_001157316.1	XP_023019941.1
NP_001157646.1	XP_023024786.1
NP_001158260.1	XP_023028829.1
NP_001158279.1	XP_023024026.1
NP_001159381.1	XP_023023065.1
NP_001159383.1	XP_023022912.1
NP_001159495.1	XP_023025980.1
NP_001159498.1	XP_023018045.1
NP_001161226.1	XP_023024876.1
NP_001161228.1	XP_023024343.1
NP_001161251.1	XP_023022023.1
NP_001161257.1	XP_023021498.1
NP_001161309.1	XP_023015835.1
NP_001161313.1	XP_023024092.1
NP_001161316.1	XP_023025336.1
NP_001161320.1	XP_023021119.1
NP_001161778.1	XP_023015390.1
NP_001161780.1	XP_023022865.1
NP_001161781.1	XP_023021016.1
NP_001161782.1	XP_023021020.1
NP_001161783.1	XP_023012970.1
NP_001161785.1	XP_023013854.1
NP_001161900.1	XP_023024810.1
NP_001161905.1	XP_023014561.1
NP_001161906.1	XP_023018371.1
NP_001161908.1	XP_023025808.1
NP_001161909.1	XP_023015433.1
NP_001161910.1	XP_023022556.1
NP_001161912.1	XP_023025958.1
NP_001161915.1	XP_023025906.1
NP_001161917.1	XP_023015458.1
NP_001161919.1	XP_023015263.1
NP_001161921.1	XP_023018660.1
NP_001161924.1	XP_023013908.1
NP_001163995.1	XP_023027852.1
NP_001163997.1	XP_023015802.1
NP_001164000.1	XP_023013481.1
NP_001164080.1	XP_023027570.1
NP_001164081.1	XP_023026118.1
NP_001164082.1	XP_023016034.1
NP_001164083.1	XP_023017438.1
NP_001164084.1	XP_023019943.1
NP_001164088.1	XP_023014069.1
NP_001164089.1	XP_023019940.1
NP_001164091.1	XP_023026423.1
NP_001164092.1	XP_023012423.1
NP_001164093.1	XP_023020472.1
NP_001164094.1	XP_023015411.1
NP_001164096.1	XP_023020519.1
NP_001164115.1	XP_023028906.1
NP_001164117.1	XP_023029169.1
NP_001164125.1	XP_023011691.1
NP_001164126.1	XP_023012314.1
NP_001164127.1	XP_023029328.1
NP_001164128.1	XP_023026814.1
NP_001164130.1	XP_023026483.1
NP_001164133.1	XP_023017900.1
NP_001164135.1	XP_023020335.1
NP_001164136.1	XP_023012016.1
NP_001164137.1	XP_023017494.1
NP_001164151.1	XP_023020315.1
NP_001164154.1	XP_023016317.1
NP_001164155.1	XP_023019597.1
NP_001164200.1	XP_023027387.1
NP_001164201.1	XP_023025944.1
NP_001164203.1	XP_023011595.1
NP_001164205.1	XP_023025360.1
NP_001164208.1	XP_023018567.1
NP_001164229.1	XP_023012121.1
NP_001164230.1	XP_023012122.1
NP_001164243.1	XP_023015773.1
NP_001164244.1	XP_023027110.1
NP_001164247.1	XP_023022674.1
NP_001164248.1	XP_023018113.1
NP_001164280.1	XP_023027059.1
NP_001164282.1	XP_023014892.1
NP_001164292.1	XP_023014853.1
NP_001164294.1	XP_023014852.1
NP_001164305.1	XP_023016468.1
NP_001164310.1	XP_023022446.1
NP_001164314.1	XP_023022881.1
NP_001164315.1	XP_023015207.1
NP_001164317.1	XP_023024651.1
NP_001164359.1	XP_023025884.1
NP_001164360.1	XP_023028277.1
NP_001164361.1	XP_023022949.1
NP_001164362.1	XP_023017298.1
NP_001164533.1	XP_023022882.1
NP_001165842.1	XP_023029544.1
NP_001165844.1	XP_023013427.1
NP_001165861.1	XP_023019029.1
NP_001165862.1	XP_023016573.1
NP_001165864.1	XP_023021544.1
NP_001167548.1	XP_023023031.1
NP_001171929.1	XP_023029127.1
NP_001180378.1	XP_023021093.1
NP_001193391.1	XP_023025205.1
NP_001193392.1	XP_023025203.1
NP_001242998.1	XP_023014803.1
NP_001263355.1	XP_023030233.1
NP_001280497.1	XP_023012720.1
NP_001280504.1	XP_023029801.1
NP_001280506.1	XP_023013043.1
NP_001280508.1	XP_023027324.1
NP_001280510.1	XP_023029641.1
NP_001280511.1	XP_023012805.1
NP_001280512.1	XP_023013514.1
NP_001280515.1	XP_023026711.1
NP_001280516.1	XP_023026134.1
NP_001280518.1	XP_023023409.1
NP_001280523.1	XP_023014335.1
NP_001280524.1	XP_023023458.1
NP_001280526.1	XP_023027990.1
NP_001280530.1	XP_023014072.1
NP_001280541.1	XP_023015078.1
NP_001280545.1	XP_023022279.1
NP_001280546.1	XP_023011646.1
NP_001281279.1	XP_023013216.1
NP_001298082.1	XP_023019573.1
NP_001300806.1	XP_023016740.1
NP_001306193.1	XP_023024800.1
NP_001308030.1	XP_023030259.1
NP_203156.1	XP_023017297.1
NP_203162.1	XP_023025143.1
NP_258414.1	XP_023025144.1
XP_001806886.2	XP_023023510.1
XP_001806936.1	XP_023026287.1
XP_001807041.2	XP_023012807.1
XP_001807060.1	XP_023020185.1
XP_001807073.1	XP_023014501.1
XP_001807104.1	XP_023016614.1
XP_001807129.1	XP_023024621.1
XP_001807190.1	XP_023030500.1
XP_001807213.1	XP_023021557.1
XP_001807284.2	XP_023029375.1
XP_001807287.1	XP_023017999.1
XP_001807432.1	XP_023023405.1
XP_001807448.1	XP_023024433.1
XP_001807502.3	XP_023017503.1
XP_001807518.1	XP_023015620.1
XP_001807559.1	XP_023020130.1
XP_001807564.1	XP_023024704.1
XP_001807591.1	XP_023014040.1
XP_001807608.2	XP_023024204.1
XP_001807632.1	XP_023025447.1
XP_001807705.1	XP_023013794.1
XP_001807778.1	XP_023023808.1
XP_001807794.1	XP_023021724.1
XP_001807945.2	XP_023027011.1
XP_001807993.1	XP_023014144.1
XP_001807996.1	XP_023024544.1
XP_001808029.1	XP_023019595.1
XP_001808109.1	XP_023026214.1
XP_001808147.1	XP_023015837.1
XP_001808363.1	XP_023029583.1
XP_001808385.1	XP_023011778.1
XP_001808390.2	XP_023029925.1
XP_001808435.1	XP_023020867.1
XP_001808466.1	XP_023015100.1
XP_001808472.1	XP_023021569.1
XP_001808512.2	XP_023012818.1
XP_001808711.1	XP_023018027.1
XP_001808764.1	XP_023017467.1
XP_001808773.1	XP_023023447.1
XP_001808877.2	XP_023016306.1
XP_001808901.1	XP_023024714.1
XP_001808926.2	XP_023017349.1
XP_001808932.1	XP_023014309.1
XP_001808952.1	XP_023013503.1
XP_001808956.1	XP_023014870.1
XP_001808961.1	XP_023021712.1
XP_001808976.1	XP_023014396.1
XP_001808987.1	XP_023017812.1
XP_001809010.1	XP_023013556.1
XP_001809029.1	XP_023028234.1
XP_001809056.1	XP_023026585.1
XP_001809216.1	XP_023024612.1
XP_001809235.1	XP_023025972.1
XP_001809239.1	XP_023023914.1
XP_001809288.1	XP_023030305.1
XP_001809298.1	XP_023026399.1
XP_001809356.1	XP_023015560.1
XP_001809395.1	XP_023030498.1
XP_001809413.1	XP_023025968.1
XP_001809480.2	XP_023024434.1
XP_001809489.2	XP_023023907.1
XP_001809545.1	XP_023024187.1
XP_001809581.2	XP_023028766.1
XP_001809587.2	XP_023017036.1
XP_001809620.1	XP_023024821.1
XP_001809624.1	XP_023023648.1
XP_001809744.1	XP_023012793.1
XP_001809758.1	XP_023020463.1
XP_001809803.1	XP_023023967.1
XP_001809806.2	XP_023020778.1
XP_001809825.2	XP_023016039.1
XP_001809848.1	XP_023028751.1
XP_001809949.1	XP_023014449.1
XP_001809953.1	XP_023024228.1
XP_001809957.2	XP_023018254.1
XP_001809969.1	XP_023018170.1
XP_001809986.1	XP_023019839.1
XP_001810064.1	XP_023026174.1
XP_001810067.1	XP_023011648.1
XP_001810193.1	XP_023027347.1
XP_001810222.1	XP_023022855.1
XP_001810245.1	XP_023025428.1
XP_001810287.1	XP_023025731.1
XP_001810341.1	XP_023013258.1
XP_001810355.1	XP_023021850.1
XP_001810409.1	XP_023022434.1
XP_001810419.2	XP_023025671.1
XP_001810520.1	XP_023012532.1
XP_001810533.2	XP_023014510.1
XP_001810552.2	XP_023023346.1
XP_001810604.1	XP_023019787.1
XP_001810629.1	XP_023023498.1
XP_001810630.1	XP_023028901.1
XP_001810642.1	XP_023019412.1
XP_001810667.2	XP_023020589.1
XP_001810703.1	XP_023029321.1
XP_001810713.2	XP_023021286.1
XP_001810755.3	XP_023030429.1
XP_001810773.1	XP_023025833.1
XP_001810780.1	XP_023018230.1
XP_001810795.2	XP_023029764.1
XP_001810808.1	XP_023021442.1
XP_001810854.1	XP_023026216.1
XP_001810857.1	XP_023019562.1
XP_001810875.1	XP_023023023.1
XP_001810886.1	XP_023013421.1
XP_001810939.2	XP_023018674.1
XP_001810958.1	XP_023028091.1
XP_001810967.2	XP_023013025.1
XP_001810974.2	XP_023026540.1
XP_001810980.1	XP_023025230.1
XP_001811012.1	XP_023026744.1
XP_001811015.1	XP_023014891.1
XP_001811057.1	XP_023025901.1
XP_001811130.2	XP_023015915.1
XP_001811204.1	XP_023025823.1
XP_001811234.1	XP_023026473.1
XP_001811274.1	XP_023025041.1
XP_001811305.1	XP_023011845.1
XP_001811309.1	XP_023014773.1
XP_001811313.1	XP_023024159.1
