XP_008198556.1	XP_018560752.1
XP_015839532.1	XP_018560769.1
XP_008194829.2	XP_018560772.1
XP_015840197.1	XP_018560773.1
XP_972226.3	XP_018560774.1
XP_976363.1	XP_018560777.1
XP_972221.1	XP_018560779.1
XP_008190387.2	XP_018560781.1
XP_966430.2	XP_018560782.1
XP_008201078.1	XP_018560790.1
XP_972742.1	XP_018560791.1
XP_970951.1	XP_018560793.1
XP_001809288.1	XP_018560794.1
XP_008201622.1	XP_018560800.1
XP_008201620.1	XP_018560801.1
XP_008201091.1	XP_018560802.1
XP_008201092.1	XP_018560803.1
XP_015840694.1	XP_018560805.1
XP_015840695.1	XP_018560806.1
XP_008201080.1	XP_018560808.1
XP_972702.1	XP_018560809.1
XP_008201081.1	XP_018560811.1
XP_969882.2	XP_018560812.1
XP_973092.3	XP_018560816.1
XP_008193457.1	XP_018560819.1
XP_973512.1	XP_018560829.1
XP_015838635.1	XP_018560834.2
XP_015834939.1	XP_018560835.2
XP_008192371.1	XP_018560846.1
XP_968962.1	XP_018560847.1
XP_008191699.1	XP_018560849.1
XP_975655.1	XP_018560851.1
XP_008200830.1	XP_018560852.1
XP_973525.1	XP_018560853.1
XP_969841.1	XP_018560855.1
XP_975661.1	XP_018560856.1
XP_970371.1	XP_018560857.1
XP_008197633.1	XP_018560858.1
XP_974603.1	XP_018560859.1
XP_974694.1	XP_018560860.1
XP_969038.3	XP_018560862.1
XP_008200590.1	XP_018560864.1
XP_008192024.1	XP_018560868.1
XP_968744.1	XP_018560869.2
XP_976245.1	XP_018560870.1
XP_008192021.1	XP_018560871.1
NP_001135390.1	XP_018560874.1
XP_015834597.1	XP_018560877.1
XP_969620.2	XP_018560879.1
XP_008192028.1	XP_018560880.1
XP_008192027.1	XP_018560884.1
XP_971597.2	XP_018560885.1
XP_968440.1	XP_018560886.1
XP_008192367.1	XP_018560887.1
XP_008192368.1	XP_018560888.1
XP_008191797.1	XP_018560892.1
XP_008191798.1	XP_018560893.1
XP_015834617.1	XP_018560896.1
XP_973656.1	XP_018560897.1
XP_008191129.1	XP_018560899.1
XP_969444.1	XP_018560900.1
XP_967976.1	XP_018560901.1
XP_008192443.1	XP_018560903.1
XP_969255.3	XP_018560904.1
XP_968443.1	XP_018560905.1
XP_008192026.1	XP_018560906.1
XP_968051.2	XP_018560908.1
XP_015837513.1	XP_018560909.1
XP_008199973.1	XP_018560913.1
XP_015837277.1	XP_018560915.1
XP_968405.1	XP_018560916.1
NP_001164079.1	XP_018560918.1
XP_008198593.1	XP_018560919.1
XP_966436.1	XP_018560922.1
XP_974803.1	XP_018560923.1
XP_008199971.1	XP_018560932.1
XP_969006.1	XP_018560936.1
XP_001814401.1	XP_018560941.1
XP_974357.1	XP_018560942.1
XP_973732.1	XP_018560943.1
XP_967046.1	XP_018560944.1
XP_967475.1	XP_018560949.1
XP_976272.1	XP_018560950.1
XP_971915.1	XP_018560951.1
XP_015836490.1	XP_018560953.1
XP_972262.1	XP_018560955.1
XP_971914.1	XP_018560956.1
XP_015840594.1	XP_018560957.1
XP_015835355.1	XP_018560960.1
XP_001811514.1	XP_018560961.1
NP_001164315.1	XP_018560962.1
XP_015840598.1	XP_018560963.1
XP_972432.2	XP_018560964.1
XP_972413.1	XP_018560965.1
XP_969714.1	XP_018560966.1
XP_015836574.1	XP_018560967.1
